height,age,weight
124.3,13,20
171.1,20,73.1
172.3,19,74.3
174.1,43,78.3
175.2,19,75.4
176.4,48,77.4
177.3,47,78.2
178.7,36,81.4
179.3,47,80.5
181.3,54,81.6
181.5,31,81.9
181.6,26,85
181.6,21,83.4
181.6,44,83.7
182.2,37,83.9
182.5,46,82.6
183.4,24,86.6
183.7,43,88.1
184.3,26,87.6
184.9,19,86
185.0,19,86.4
185.8,28,90.3
185.9,27,87.5
186.2,29,89.3
186.5,21,89
187.1,48,91.3
187.6,31,92.4
188.0,43,88.1
188.4,21,89.1
188.6,33,89.7
188.9,53,90
189.3,39,90.7
189.9,22,90.9
190.0,33,91.3
190.2,53,90.9
190.5,51,90.6
190.7,27,92.8
191.1,31,95.4
191.4,25,94.3
191.5,26,94.4
191.9,51,93.5
193.2,39,96.3
193.5,52,97
193.8,46,97.2
193.9,32,98.7
194.4,24,95.8
194.5,49,99.3
194.8,45,96.6
194.9,39,95.9
195.1,21,95.5
196.8,46,97.5
198.2,49,100.6
199.1,34,102.5
199.4,54,101.8
201.7,34,102.7
204.8,51,108.3
